,property_type,place_name,state_name,lat,lon,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_per_m2,rooms,terraza,patio,parrilla,salon,laundry,pileta,cochera,estado_nuevo,estado_a_reciclar
87896,apartment,Parque Patricios,Capital Federal,-34.633308,-58.407493,119760.0,56.0,47.0,2138.5714285714284,4.0,1,0,1,0,0,0,1,0,0
87901,apartment,Chacarita,Capital Federal,-34.5901808,-58.449152100000006,110295.0,51.0,48.0,2162.6470588235293,2.0,1,0,1,0,0,1,0,0,0
87905,apartment,San Telmo,Capital Federal,-34.6234817427,-58.37647300840001,54500.0,22.0,22.0,2477.2727272727275,2.0,0,0,0,0,0,0,0,0,0
87907,apartment,Puerto Madero,Capital Federal,-34.6177194,-58.3620561,435000.0,83.0,79.0,5240.963855421687,2.0,0,0,0,0,0,0,1,0,0
87909,apartment,San Telmo,Capital Federal,-34.6247504837,-58.379148244899994,97272.0,48.0,44.0,2026.5,2.0,0,0,1,0,1,0,1,1,0
87912,apartment,Parque Patricios,Capital Federal,-34.633308,-58.407493,81638.0,36.0,30.0,2267.722222222222,4.0,1,0,1,0,0,0,1,0,0
87917,apartment,Chacarita,Capital Federal,-34.5901808,-58.449152100000006,110295.0,51.0,48.0,2162.6470588235293,2.0,1,0,1,0,0,1,0,0,0
87918,apartment,San Telmo,Capital Federal,-34.6247504837,-58.379148244899994,69920.0,34.0,31.0,2056.470588235294,2.0,0,0,1,0,1,0,1,1,0
87920,apartment,Parque Patricios,Capital Federal,-34.633308,-58.407493,108866.0,51.0,42.0,2134.627450980392,4.0,1,0,1,0,0,0,1,0,0
87922,apartment,San Telmo,Capital Federal,-34.6234817427,-58.37647300840001,60500.0,25.0,25.0,2420.0,2.0,0,0,0,0,0,0,0,1,0
87925,apartment,Balvanera,Capital Federal,-34.60967479999999,-58.3986588,121785.0,37.0,34.0,3291.4864864864867,1.0,0,0,0,0,0,1,0,1,0
87929,apartment,San Telmo,Capital Federal,-34.6247504837,-58.379148244899994,69920.0,34.0,31.0,2056.470588235294,2.0,0,0,1,0,1,0,1,1,0
87933,apartment,Puerto Madero,Capital Federal,-34.6177194,-58.3620561,761250.0,115.0,80.0,6619.565217391304,5.0,1,0,1,0,0,0,1,0,0
87935,apartment,Parque Patricios,Capital Federal,-34.633308,-58.407493,146329.0,77.0,58.0,1900.3766233766235,4.0,1,0,1,0,0,0,1,0,0
87936,apartment,Chacarita,Capital Federal,-34.5901808,-58.449152100000006,112860.0,51.0,48.0,2212.9411764705883,2.0,1,0,1,0,0,1,0,0,0
87939,apartment,San Telmo,Capital Federal,-34.6234817427,-58.37647300840001,63900.0,27.0,23.0,2366.6666666666665,2.0,0,0,0,0,0,0,0,0,0
87940,apartment,San Cristobal,Capital Federal,-34.618904466,-58.3888048533,229000.0,114.0,114.0,2008.7719298245613,4.0,0,0,0,0,0,0,0,1,0
87945,apartment,Puerto Madero,Capital Federal,-34.6177194,-58.3620561,760200.0,115.0,80.0,6610.434782608696,5.0,1,0,1,0,0,0,1,0,0
87946,apartment,San Telmo,Capital Federal,-34.6247504837,-58.379148244899994,71815.0,35.0,32.0,2051.8571428571427,2.0,0,0,1,0,1,0,1,1,0
87950,apartment,Parque Patricios,Capital Federal,-34.633308,-58.407493,174368.0,87.0,69.0,2004.2298850574712,4.0,1,0,1,0,0,0,1,0,0
87953,apartment,San Telmo,Capital Federal,-34.6234817427,-58.37647300840001,55600.0,22.0,22.0,2527.2727272727275,2.0,0,0,0,0,0,0,0,0,0
87954,apartment,Puerto Madero,Capital Federal,-34.6177194,-58.3620561,765450.0,115.0,80.0,6656.086956521739,5.0,1,0,1,0,0,0,1,0,0
87960,apartment,San Telmo,Capital Federal,-34.6247504837,-58.379148244899994,64973.0,35.0,32.0,1856.3714285714286,2.0,0,0,1,0,1,0,1,1,0
87961,apartment,Parque Patricios,Capital Federal,-34.633308,-58.407493,121482.0,60.0,41.0,2024.7,4.0,1,0,1,0,0,0,1,0,0
